!Data to be fit for HW13 PHSX 331
!(x,y,dy) is independent variable, dependent variable, and uncertainty
!in dependent variable.
!Units are arbitrary.
!      x          y        dy
     0.394     2.257     1.579
     0.820     1.856     1.455
     2.651     1.812     1.000
     4.824     2.582     0.894
     4.954     3.232     0.114
     9.072     3.451     1.322
     9.831     3.457     1.136
    11.811     2.874     0.887
    11.311     3.503     0.337
    11.728     2.624     0.636
    13.044     3.487     0.603
    13.052     1.950     1.406
    15.664     1.994     1.234
    17.012     3.075     0.662
    17.776     3.206     1.499
    17.977     2.564     1.096
    18.007     2.389     1.420
    20.212     2.965     1.043
    21.208     2.663     0.231
    21.565     2.983     0.720
    22.801     3.192     0.290
    23.591     3.046     0.186
    27.000     2.243     0.576
    27.566     3.784     0.535
    27.740     2.300     1.672
    30.090     3.457     1.306
    31.497     2.714     1.551
    33.486     2.345     0.434
    34.343     2.388     0.895
    34.533     2.778     1.247
    35.124     2.628     0.351
    35.963     3.509     0.848
    36.361     2.925     0.280
    37.673     3.962     1.657
    39.051     3.523     0.309
    39.601     2.516     0.843
    42.798     2.948     1.239
    42.832     2.588     0.842
    43.462     4.104     1.285
    43.760     2.601     0.613
    44.698     2.833     0.252
    46.287     3.322     0.306
    46.401     4.212     0.842
    48.238     3.009     1.377
    50.231     2.898     1.175
    50.265     2.941     1.620
    51.427     2.831     1.642
    51.683     3.573     1.095
    51.876     4.261     0.147
    53.271     2.858     0.719
    53.930     3.771     1.430
    54.538     4.225     1.125
    54.684     4.306     0.619
    57.279     3.192     1.091
    58.509     4.620     0.406
    58.610     3.611     0.807
    59.116     3.784     1.033
    59.781     3.278     0.787
    63.610     4.755     0.747
    64.427     4.666     1.344
    64.910     3.457     1.194
    67.030     4.060     0.484
    67.850     4.982     0.239
    69.781     4.469     0.288
    70.230     4.843     0.393
    71.581     4.413     0.999
    71.592     3.696     1.574
    72.437     4.668     0.733
    72.705     3.797     1.583
    73.327     5.249     1.043
    73.394     3.674     1.104
    73.853     3.697     0.741
    73.947     4.143     1.663
    74.944     5.351     0.756
    75.441     4.457     0.365
    76.233     4.974     1.076
    76.638     5.321     0.130
    77.587     5.108     1.424
    77.831     4.117     0.454
    79.193     3.978     1.022
    79.612     4.006     1.324
    84.340     4.281     0.522
    84.628     5.864     0.731
    84.644     5.389     1.280
    86.072     4.421     1.373
    86.480     6.014     1.245
    87.418     5.809     0.860
    87.449     4.767     0.503
    87.524     5.019     1.159
    87.948     5.837     0.367
    88.699     4.757     0.412
    89.058     5.251     0.638
    89.452     5.605     0.518
    90.480     5.807     1.382
    91.603     4.782     1.387
    92.601     4.844     1.367
    94.210     5.183     0.472
    96.029     5.768     0.819
    96.969     6.667     0.821
    99.551     6.078     1.595

